Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    58 , 370 , 500 , 870 , 470 , 500 , 970 , 470 , 500 , 970 , 470 , 510 , 980 , 470 , 510 , 980 , 480 , 520 ," 1,000 "
    59 , 310 , 480 , 790 , 440 , 480 , 920 , 440 , 480 , 920 , 440 , 490 , 930 , 440 , 490 , 930 , 450 , 490 , 940 
    60 , 350 , 490 , 840 , 350 , 490 , 840 , 350 , 490 , 840 , 360 , 560 , 920 , 350 , 560 , 910 , 430 , 560 , 990 
    61 , 320 , 360 , 680 , 460 , 360 , 820 , 460 , 360 , 820 , 460 , 380 , 840 , 460 , 380 , 840 , 480 , 380 , 860 
    62 , 400 , 470 , 870 , 400 , 470 , 870 , 400 , 470 , 870 , 390 , 480 , 870 , 400 , 480 , 880 , 410 , 480 , 890 
    63 , 320 , 330 , 650 , 320 , 330 , 650 , 320 , 330 , 650 , 320 , 340 , 660 , 320 , 340 , 660 , 340 , 350 , 690 
    64 , 330 , 340 , 670 , 330 , 330 , 660 , 330 , 330 , 660 , 320 , 340 , 660 , 320 , 350 , 670 , 330 , 350 , 680 
    65 , 270 , 390 , 660 , 260 , 380 , 640 , 260 , 370 , 630 , 260 , 380 , 640 , 260 , 380 , 640 , 270 , 390 , 660 
    66 , 260 , 290 , 550 , 260 , 290 , 550 , 350 , 290 , 640 , 350 , 420 , 770 , 340 , 420 , 760 , 350 , 420 , 770 
    67 , 260 , 300 , 560 , 370 , 290 , 660 , 360 , 290 , 650 , 350 , 290 , 640 , 340 , 290 , 630 , 340 , 290 , 630 
    68 , 260 , 270 , 530 , 260 , 260 , 520 , 250 , 260 , 510 , 250 , 260 , 510 , 240 , 260 , 500 , 250 , 260 , 510 
    69 , 160 , 290 , 450 , 160 , 280 , 440 , 150 , 280 , 430 , 150 , 290 , 440 , 150 , 280 , 430 , 160 , 280 , 440 
    70 , 140 , 220 , 360 , 140 , 240 , 380 , 130 , 240 , 370 , 130 , 240 , 370 , 170 , 240 , 410 , 180 , 240 , 420 
    71 , 200 , 230 , 430 , 190 , 220 , 410 , 190 , 220 , 410 , 180 , 220 , 400 , 180 , 220 , 400 , 180 , 220 , 400 
    72 , 230 , 270 , 500 , 220 , 260 , 480 , 220 , 260 , 480 , 210 , 260 , 470 , 280 , 260 , 540 , 290 , 260 , 550 
    73 , 170 , 190 , 360 , 170 , 190 , 360 , 160 , 180 , 340 , 160 , 190 , 350 , 150 , 180 , 330 , 160 , 180 , 340 
