Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    51 , 780 , 800 ," 1,580 ", 800 , 800 ," 1,600 ", 810 , 940 ," 1,750 ", 960 , 950 ," 1,910 ", 990 , 970 ," 1,960 ", 990 , 980 ," 1,970 "
    52 , 790 , 960 ," 1,750 ", 810 , 970 ," 1,780 ", 900 , 970 ," 1,870 ", 940 ," 1,080 "," 2,020 ", 970 ," 1,110 "," 2,080 "," 1,050 "," 1,110 "," 2,160 "
    53 , 710 , 710 ," 1,420 ", 720 , 710 ," 1,430 ", 730 , 710 ," 1,440 ", 760 , 730 ," 1,490 ", 790 , 750 ," 1,540 ", 800 , 750 ," 1,550 "
    54 , 590 , 670 ," 1,260 ", 590 , 670 ," 1,260 ", 590 , 670 ," 1,260 ", 610 , 690 ," 1,300 ", 730 , 710 ," 1,440 ", 750 , 800 ," 1,550 "
    55 , 560 , 620 ," 1,180 ", 560 , 620 ," 1,180 ", 560 , 620 ," 1,180 ", 570 , 630 ," 1,200 ", 600 , 650 ," 1,250 ", 610 , 750 ," 1,360 "
    56 , 640 , 690 ," 1,330 ", 640 , 690 ," 1,330 ", 730 , 680 ," 1,410 ", 740 , 690 ," 1,430 ", 750 , 700 ," 1,450 ", 760 , 820 ," 1,580 "
    57 , 560 , 640 ," 1,200 ", 680 , 650 ," 1,330 ", 680 , 650 ," 1,330 ", 680 , 660 ," 1,340 ", 700 , 670 ," 1,370 ", 710 , 830 ," 1,540 "
    58 , 490 , 510 ," 1,000 ", 480 , 510 , 990 , 590 , 620 ," 1,210 ", 600 , 640 ," 1,240 ", 610 , 650 ," 1,260 ", 610 , 650 ," 1,260 "
    59 , 580 , 490 ," 1,070 ", 580 , 630 ," 1,210 ", 580 , 630 ," 1,210 ", 600 , 650 ," 1,250 ", 600 , 650 ," 1,250 ", 610 , 650 ," 1,260 "
    60 , 420 , 500 , 920 , 420 , 500 , 920 , 430 , 550 , 980 , 440 , 570 ," 1,010 ", 450 , 580 ," 1,030 ", 510 , 630 ," 1,140 "
    61 , 470 , 520 , 990 , 470 , 530 ," 1,000 ", 470 , 530 ," 1,000 ", 480 , 550 ," 1,030 ", 490 , 720 ," 1,210 ", 640 , 720 ," 1,360 "
