Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    55 , 340 , 500 , 840 , 440 , 500 , 940 , 440 , 500 , 940 , 450 , 510 , 960 , 460 , 520 , 980 , 480 , 520 ," 1,000 "
    56 , 330 , 460 , 790 , 330 , 460 , 790 , 330 , 450 , 780 , 430 , 450 , 880 , 430 , 460 , 890 , 450 , 580 ," 1,030 "
    57 , 290 , 330 , 620 , 290 , 330 , 620 , 280 , 330 , 610 , 290 , 330 , 620 , 420 , 340 , 760 , 440 , 500 , 940 
    58 , 360 , 370 , 730 , 350 , 380 , 730 , 360 , 380 , 740 , 370 , 380 , 750 , 370 , 500 , 870 , 380 , 510 , 890 
    59 , 300 , 330 , 630 , 300 , 320 , 620 , 300 , 320 , 620 , 310 , 330 , 640 , 310 , 330 , 640 , 450 , 480 , 930 
    60 , 280 , 330 , 610 , 280 , 330 , 610 , 340 , 330 , 670 , 360 , 390 , 750 , 350 , 400 , 750 , 360 , 400 , 760 
    61 , 310 , 350 , 660 , 310 , 350 , 660 , 310 , 350 , 660 , 320 , 360 , 680 , 320 , 370 , 690 , 340 , 370 , 710 
    62 , 300 , 250 , 550 , 300 , 250 , 550 , 300 , 350 , 650 , 310 , 350 , 660 , 310 , 370 , 680 , 320 , 370 , 690 
    63 , 310 , 320 , 630 , 310 , 320 , 630 , 310 , 320 , 630 , 320 , 320 , 640 , 320 , 330 , 650 , 340 , 340 , 680 
    64 , 320 , 330 , 650 , 320 , 320 , 640 , 320 , 320 , 640 , 320 , 320 , 640 , 320 , 340 , 660 , 330 , 340 , 670 
    65 , 190 , 240 , 430 , 180 , 240 , 420 , 180 , 230 , 410 , 190 , 230 , 420 , 190 , 240 , 430 , 270 , 240 , 510 
    66 , 250 , 280 , 530 , 250 , 280 , 530 , 240 , 280 , 520 , 250 , 280 , 530 , 240 , 290 , 530 , 250 , 290 , 540 
    67 , 140 , 290 , 430 , 140 , 280 , 420 , 140 , 280 , 420 , 250 , 270 , 520 , 240 , 280 , 520 , 250 , 280 , 530 
    68 , 140 , 260 , 400 , 250 , 250 , 500 , 240 , 250 , 490 , 250 , 240 , 490 , 240 , 250 , 490 , 250 , 250 , 500 
    69 , 270 , 280 , 550 , 260 , 270 , 530 , 250 , 270 , 520 , 260 , 270 , 530 , 250 , 270 , 520 , 260 , 380 , 640 
    70 , 230 , 240 , 470 , 220 , 230 , 450 , 210 , 230 , 440 , 210 , 220 , 430 , 210 , 260 , 470 , 220 , 260 , 480 
    71 , 190 , 400 , 590 , 180 , 390 , 570 , 180 , 380 , 560 , 180 , 370 , 550 , 180 , 370 , 550 , 180 , 370 , 550 
    72 , 220 , 260 , 480 , 210 , 250 , 460 , 210 , 250 , 460 , 210 , 240 , 450 , 200 , 250 , 450 , 210 , 250 , 460 
    73 , 160 , 180 , 340 , 160 , 180 , 340 , 150 , 310 , 460 , 160 , 300 , 460 , 150 , 300 , 450 , 160 , 290 , 450 
    74 , 210 , 230 , 440 , 210 , 220 , 430 , 200 , 310 , 510 , 200 , 300 , 500 , 200 , 300 , 500 , 200 , 290 , 490 
    75 , 140 , 140 , 280 , 130 , 130 , 260 , 130 , 130 , 260 , 130 , 120 , 250 , 130 , 130 , 260 , 130 , 130 , 260 
    76 , 180 , 220 , 400 , 170 , 210 , 380 , 150 , 190 , 340 , 160 , 190 , 350 , 160 , 190 , 350 , 160 , 190 , 350 
    77 , 190 , 260 , 450 , 180 , 240 , 420 , 170 , 230 , 400 , 170 , 220 , 390 , 170 , 230 , 400 , 180 , 220 , 400 
    78 , 160 , 170 , 330 , 150 , 160 , 310 , 140 , 150 , 290 , 150 , 150 , 300 , 140 , 150 , 290 , 230 , 140 , 370 
    79 , 190 , 220 , 410 , 180 , 200 , 380 , 170 , 190 , 360 , 170 , 190 , 360 , 160 , 190 , 350 , 160 , 180 , 340 
 80+ , 860 , 860 ," 1,720 "," 1,330 "," 1,730 "," 3,060 "," 1,420 "," 1,220 "," 2,640 "," 1,040 "," 1,500 "," 2,540 "," 1,370 "," 1,220 "," 2,590 ", 530 , 970 ," 1,500 "
," 103,500 "," 109,700 "," 213,200 "," 107,200 "," 113,200 "," 220,400 "," 111,000 "," 116,800 "," 227,800 "," 114,800 "," 120,500 "," 235,300 "," 118,700 "," 124,200 "," 242,900 "," 122,800 "," 128,000 "," 250,800 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
