Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    49 , 550 , 650 ," 1,200 ", 560 , 660 ," 1,220 ", 580 , 680 ," 1,260 ", 580 , 680 ," 1,260 ", 580 , 690 ," 1,270 ", 580 , 690 ," 1,270 "
    50 , 430 , 650 ," 1,080 ", 440 , 650 ," 1,090 ", 460 , 670 ," 1,130 ", 460 , 680 ," 1,140 ", 470 , 680 ," 1,150 ", 470 , 680 ," 1,150 "
    51 , 520 , 660 ," 1,180 ", 530 , 660 ," 1,190 ", 550 , 670 ," 1,220 ", 560 , 680 ," 1,240 ", 570 , 690 ," 1,260 ", 700 , 690 ," 1,390 "
    52 , 480 , 610 ," 1,090 ", 490 , 620 ," 1,110 ", 510 , 630 ," 1,140 ", 520 , 630 ," 1,150 ", 530 , 650 ," 1,180 ", 620 , 650 ," 1,270 "
    53 , 430 , 560 , 990 , 440 , 560 ," 1,000 ", 450 , 570 ," 1,020 ", 460 , 580 ," 1,040 ", 470 , 580 ," 1,050 ", 480 , 590 ," 1,070 "
    54 , 390 , 560 , 950 , 390 , 560 , 950 , 400 , 570 , 970 , 410 , 580 , 990 , 420 , 590 ," 1,010 ", 430 , 590 ," 1,020 "
    55 , 340 , 500 , 840 , 440 , 500 , 940 , 450 , 510 , 960 , 450 , 520 , 970 , 460 , 520 , 980 , 470 , 520 , 990 
    56 , 330 , 460 , 790 , 420 , 460 , 880 , 430 , 460 , 890 , 430 , 460 , 890 , 430 , 460 , 890 , 440 , 470 , 910 
    57 , 410 , 470 , 880 , 410 , 480 , 890 , 420 , 490 , 910 , 420 , 490 , 910 , 420 , 490 , 910 , 430 , 500 , 930 
    58 , 360 , 490 , 850 , 350 , 490 , 840 , 370 , 500 , 870 , 370 , 500 , 870 , 370 , 500 , 870 , 370 , 510 , 880 
    59 , 300 , 470 , 770 , 300 , 470 , 770 , 310 , 480 , 790 , 310 , 480 , 790 , 310 , 480 , 790 , 310 , 480 , 790 
    60 , 220 , 430 , 650 , 220 , 430 , 650 , 230 , 440 , 670 , 230 , 450 , 680 , 290 , 450 , 740 , 290 , 450 , 740 
    61 , 310 , 350 , 660 , 310 , 350 , 660 , 320 , 360 , 680 , 320 , 370 , 690 , 320 , 370 , 690 , 330 , 370 , 700 
    62 , 300 , 350 , 650 , 300 , 350 , 650 , 310 , 360 , 670 , 310 , 360 , 670 , 310 , 370 , 680 , 310 , 370 , 680 
    63 , 310 , 320 , 630 , 310 , 320 , 630 , 320 , 330 , 650 , 320 , 330 , 650 , 320 , 330 , 650 , 330 , 340 , 670 
    64 , 230 , 330 , 560 , 220 , 320 , 540 , 230 , 330 , 560 , 230 , 330 , 560 , 230 , 340 , 570 , 230 , 340 , 570 
    65 , 260 , 310 , 570 , 250 , 300 , 550 , 260 , 310 , 570 , 260 , 310 , 570 , 260 , 310 , 570 , 260 , 310 , 570 
    66 , 250 , 280 , 530 , 250 , 280 , 530 , 250 , 290 , 540 , 250 , 290 , 540 , 240 , 290 , 530 , 240 , 290 , 530 
    67 , 250 , 290 , 540 , 250 , 280 , 530 , 250 , 290 , 540 , 250 , 280 , 530 , 240 , 280 , 520 , 240 , 280 , 520 
    68 , 250 , 260 , 510 , 250 , 250 , 500 , 250 , 260 , 510 , 250 , 250 , 500 , 240 , 250 , 490 , 240 , 350 , 590 
    69 , 150 , 280 , 430 , 150 , 270 , 420 , 150 , 280 , 430 , 150 , 280 , 430 , 150 , 270 , 420 , 250 , 270 , 520 
    70 , 130 , 210 , 340 , 130 , 200 , 330 , 130 , 210 , 340 , 130 , 200 , 330 , 130 , 200 , 330 , 130 , 200 , 330 
    71 , 190 , 220 , 410 , 180 , 210 , 390 , 190 , 220 , 410 , 180 , 210 , 390 , 180 , 210 , 390 , 170 , 210 , 380 
    72 , 130 , 260 , 390 , 120 , 250 , 370 , 130 , 260 , 390 , 130 , 250 , 380 , 200 , 250 , 450 , 200 , 250 , 450 
    73 , 160 , 180 , 340 , 160 , 180 , 340 , 160 , 180 , 340 , 160 , 180 , 340 , 150 , 170 , 320 , 150 , 170 , 320 
