Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    34 , 700 , 710 ," 1,410 ", 700 , 710 ," 1,410 ", 710 , 720 ," 1,430 ", 710 , 840 ," 1,550 ", 710 , 860 ," 1,570 ", 820 , 890 ," 1,710 "
    35 , 620 , 730 ," 1,350 ", 690 , 740 ," 1,430 ", 690 , 740 ," 1,430 ", 690 , 750 ," 1,440 ", 770 , 850 ," 1,620 ", 780 , 880 ," 1,660 "
    36 , 710 , 700 ," 1,410 ", 710 , 820 ," 1,530 ", 820 , 830 ," 1,650 ", 830 , 830 ," 1,660 ", 830 , 850 ," 1,680 ", 840 , 870 ," 1,710 "
    37 , 610 , 740 ," 1,350 ", 610 , 750 ," 1,360 ", 720 , 760 ," 1,480 ", 720 , 760 ," 1,480 ", 730 , 760 ," 1,490 ", 730 , 900 ," 1,630 "
    38 , 590 , 660 ," 1,250 ", 590 , 660 ," 1,250 ", 590 , 760 ," 1,350 ", 590 , 770 ," 1,360 ", 680 , 770 ," 1,450 ", 690 , 780 ," 1,470 "
    39 , 600 , 680 ," 1,280 ", 710 , 690 ," 1,400 ", 710 , 700 ," 1,410 ", 710 , 810 ," 1,520 ", 710 , 820 ," 1,530 ", 710 , 830 ," 1,540 "
    40 , 550 , 590 ," 1,140 ", 550 , 590 ," 1,140 ", 550 , 660 ," 1,210 ", 610 , 670 ," 1,280 ", 610 , 680 ," 1,290 ", 610 , 750 ," 1,360 "
    41 , 670 , 670 ," 1,340 ", 670 , 680 ," 1,350 ", 670 , 690 ," 1,360 ", 670 , 700 ," 1,370 ", 670 , 840 ," 1,510 ", 790 , 850 ," 1,640 "
    42 , 550 , 580 ," 1,130 ", 640 , 580 ," 1,220 ", 640 , 680 ," 1,320 ", 630 , 700 ," 1,330 ", 630 , 710 ," 1,340 ", 630 , 720 ," 1,350 "
    43 , 630 , 650 ," 1,280 ", 630 , 660 ," 1,290 ", 630 , 660 ," 1,290 ", 620 , 680 ," 1,300 ", 620 , 690 ," 1,310 ", 740 , 830 ," 1,570 "
    44 , 460 , 460 , 920 , 460 , 460 , 920 , 460 , 470 , 930 , 560 , 480 ," 1,040 ", 560 , 480 ," 1,040 ", 560 , 610 ," 1,170 "
    45 , 490 , 500 , 990 , 490 , 500 , 990 , 480 , 580 ," 1,060 ", 490 , 590 ," 1,080 ", 560 , 590 ," 1,150 ", 560 , 610 ," 1,170 "
    46 , 600 , 520 ," 1,120 ", 600 , 520 ," 1,120 ", 590 , 530 ," 1,120 ", 600 , 530 ," 1,130 ", 710 , 650 ," 1,360 ", 710 , 670 ," 1,380 "
    47 , 410 , 430 , 840 , 410 , 430 , 840 , 540 , 430 , 970 , 540 , 440 , 980 , 540 , 570 ," 1,110 ", 540 , 580 ," 1,120 "
    48 , 400 , 480 , 880 , 400 , 480 , 880 , 500 , 490 , 990 , 500 , 490 , 990 , 500 , 580 ," 1,080 ", 500 , 590 ," 1,090 "
    49 , 420 , 410 , 830 , 430 , 410 , 840 , 440 , 410 , 850 , 440 , 540 , 980 , 570 , 550 ," 1,120 ", 570 , 550 ," 1,120 "
    50 , 300 , 370 , 670 , 370 , 370 , 740 , 380 , 430 , 810 , 380 , 440 , 820 , 390 , 440 , 830 , 390 , 440 , 830 
    51 , 400 , 410 , 810 , 410 , 410 , 820 , 410 , 410 , 820 , 420 , 420 , 840 , 430 , 420 , 850 , 430 , 420 , 850 
