"","","","1961 [1961]","1961 [1961]","1961 [1961]","1962 [1962]","1962 [1962]","1962 [1962]","1963 [1963]","1963 [1963]","1963 [1963]","1964 [1964]","1964 [1964]","1964 [1964]","1965 [1965]","1965 [1965]","1965 [1965]","1966 [1966]","1966 [1966]","1966 [1966]","1967 [1967]","1967 [1967]","1967 [1967]","1968 [1968]","1968 [1968]","1968 [1968]","1969 [1969]","1969 [1969]","1969 [1969]","1970 [1970]","1970 [1970]","1970 [1970]","1971 [1971]","1971 [1971]","1971 [1971]","1972 [1972]","1972 [1972]","1972 [1972]","1973 [1973]","1973 [1973]","1973 [1973]","1974 [1974]","1974 [1974]","1974 [1974]","1975 [1975]","1975 [1975]","1975 [1975]","1976 [1976]","1976 [1976]","1976 [1976]","1977 [1977]","1977 [1977]","1977 [1977]","1979 [1979]","1979 [1979]","1979 [1979]","1980 [1980]","1980 [1980]","1980 [1980]","1981 [1981]","1981 [1981]","1981 [1981]","1982 [1982]","1982 [1982]","1982 [1982]","1983 [1983]","1983 [1983]","1983 [1983]","1984 [1984]","1984 [1984]","1984 [1984]","1985 [1985]","1985 [1985]","1985 [1985]","1986 [1986]","1986 [1986]","1986 [1986]","1987 [1987]","1987 [1987]","1987 [1987]","1988 [1988]","1988 [1988]","1988 [1988]","1989 [1989]","1989 [1989]","1989 [1989]","1990 [1990]","1990 [1990]","1990 [1990]","1991 [1991]","1991 [1991]","1991 [1991]","1992 [1992]","1992 [1992]","1992 [1992]","1993 [1993]","1993 [1993]","1993 [1993]","1994 [1994]","1994 [1994]","1994 [1994]","1995 [1995]","1995 [1995]","1995 [1995]","1996 [1996]","1996 [1996]","1996 [1996]","1997 [1997]","1997 [1997]","1997 [1997]","1998 [1998]","1998 [1998]","1998 [1998]","1999 [1999]","1999 [1999]","1999 [1999]","2000 [2000]","2000 [2000]","2000 [2000]","2001 [2001]","2001 [2001]","2001 [2001]","2002 [2002]","2002 [2002]","2002 [2002]","2003 [2003]","2003 [2003]","2003 [2003]","2004 [2004]","2004 [2004]","2004 [2004]","2005 [2005]","2005 [2005]","2005 [2005]","2006 [2006]","2006 [2006]","2006 [2006]","2007 [2007]","2007 [2007]","2007 [2007]"
"Uganda [226]","Export Value [5922]","Agricultural tractors, total [2455009]","1000 US$","10","Data reported on country official publications or web sites (Official) or trade country files","","","","1000 US$","36","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","31","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","3","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","11","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","65","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","8","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","9","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","27","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","37","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","29","Data reported on country official publications or web sites (Official) or trade country files","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000 US$","100","FAO estimate","1000 US$","237","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","220","FAO estimate","1000 US$","216","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","278","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","162","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","45","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","174","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","144","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","289","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","357","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","322","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","526","Data reported on country official publications or web sites (Official) or trade country files"
"Uganda [226]","Export Value [5922]","Balers (straw and fodder balers including pick-up balers) [2455005]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000 US$","30","Official data reported on FAO Questionnaires from countries","","","","1000 US$","6","Official data reported on FAO Questionnaires from countries","1000 US$","4","Official data reported on FAO Questionnaires from countries"
"Uganda [226]","Export Value [5922]","Combine harvesters - threshers [2455004]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000 US$","56","Official data reported on FAO Questionnaires from countries","","","","1000 US$","8","Official data reported on FAO Questionnaires from countries"
"Uganda [226]","Export Value [5922]","Harvester and threshers (trade) [2455014]","","","","","","","1000 US$","4","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","12","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","6","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","9","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","9","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","11","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","3","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","10","Data reported on country official publications or web sites (Official) or trade country files","","","","1000 US$","5","Data reported on country official publications or web sites (Official) or trade country files","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000 US$","10","FAO estimate","1000 US$","5","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","20","FAO estimate","1000 US$","39","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","3","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","716","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","12","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","95","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","39","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","40","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","177","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","12","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","41","Data reported on country official publications or web sites (Official) or trade country files"
"Uganda [226]","Export Value [5922]","Manure spreaders and Fertiliser distributors [2455003]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uganda [226]","Export Value [5922]","Milking machines [2455008]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uganda [226]","Export Value [5922]","Milking, dairy machinery (trade) [2455015]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uganda [226]","Export Value [5922]","Other Agricultural tractors (two-axle tractors) [2455013]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000 US$","157","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","44","Official data reported on FAO Questionnaires from countries","1000 US$","134","Official data reported on FAO Questionnaires from countries","1000 US$","110","Official data reported on FAO Questionnaires from countries","1000 US$","289","Official data reported on FAO Questionnaires from countries","1000 US$","357","Official data reported on FAO Questionnaires from countries","1000 US$","181","Official data reported on FAO Questionnaires from countries","1000 US$","32","Official data reported on FAO Questionnaires from countries"
"Uganda [226]","Export Value [5922]","Pedestrian controlled tractors (single axle tractors) [2455010]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000 US$","6","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","14","Official data reported on FAO Questionnaires from countries","1000 US$","40","Official data reported on FAO Questionnaires from countries","","","","","","","1000 US$","0","Official data reported on FAO Questionnaires from countries","1000 US$","141","Official data reported on FAO Questionnaires from countries","1000 US$","227","Official data reported on FAO Questionnaires from countries"
"Uganda [226]","Export Value [5922]","Ploughs (e.g. reversible and non-reversible ploughs) [2455001]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000 US$","1","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","1","Official data reported on FAO Questionnaires from countries","","","","1000 US$","3","Official data reported on FAO Questionnaires from countries","","","","1000 US$","6","Official data reported on FAO Questionnaires from countries","","","","1000 US$","8","Official data reported on FAO Questionnaires from countries"
