Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","1968","1968","1000 US$","4","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","1969","1969","1000 US$","1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","1970","1970","1000 US$","3","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","1971","1971","1000 US$","3","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","1972","1972","1000 US$","2","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","1973","1973","1000 US$","1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","1997","1997","1000 US$","1","F","FAO estimate"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","1998","1998","1000 US$","1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","1999","1999","1000 US$","435","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","2000","2000","1000 US$","5","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","2001","2001","1000 US$","2","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","2004","2004","1000 US$","0","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","2005","2005","1000 US$","9","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","2006","2006","1000 US$","5","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5922","Export Value","2455017","Agricultural machinery nes (trade)","2007","2007","1000 US$","44","W","Data reported on country official publications or web sites (Official) or trade country files"
