Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2000","2000","tonnes","21290","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2001","2001","tonnes","12767","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2002","2002","tonnes","22200","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2003","2003","tonnes","20000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2004","2004","tonnes","25000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2005","2005","tonnes","20000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2006","2006","tonnes","25500","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2007","2007","tonnes","12800","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2008","2008","tonnes","23182","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2009","2009","tonnes","12950","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2010","2010","tonnes","25768","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2011","2011","tonnes","47577","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2012","2012","tonnes","18406","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2013","2013","tonnes","16500","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","2014","2014","tonnes","26600","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1961","1961","tonnes","148000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1962","1962","tonnes","72000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1963","1963","tonnes","143299","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1964","1964","tonnes","151448","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1965","1965","tonnes","174368","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1966","1966","tonnes","177406","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1967","1967","tonnes","179000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1968","1968","tonnes","137630","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1969","1969","tonnes","168800","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1970","1970","tonnes","190080","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1971","1971","tonnes","168080","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1972","1972","tonnes","167200","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1973","1973","tonnes","174680","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1974","1974","tonnes","110000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1975","1975","tonnes","70180","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1976","1976","tonnes","54340","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1977","1977","tonnes","30360","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1978","1978","tonnes","44440","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1979","1979","tonnes","13420","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1980","1980","tonnes","9020","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1981","1981","tonnes","11220","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1982","1982","tonnes","11220","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1983","1983","tonnes","21560","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1984","1984","tonnes","25100","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1985","1985","tonnes","34500","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1986","1986","tonnes","19400","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1987","1987","tonnes","12700","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1988","1988","tonnes","10900","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1989","1989","tonnes","10500","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1990","1990","tonnes","12900","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1991","1991","tonnes","18000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1992","1992","tonnes","14900","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1993","1993","tonnes","24300","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1994","1994","tonnes","25300","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1995","1995","tonnes","26000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1996","1996","tonnes","36000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1997","1997","tonnes","25000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1998","1998","tonnes","29315","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","1999","1999","tonnes","43500","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2000","2000","tonnes","50000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2001","2001","tonnes","40000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2002","2002","tonnes","38000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2003","2003","tonnes","54000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2004","2004","tonnes","48000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2005","2005","tonnes","38000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2006","2006","tonnes","48000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2007","2007","tonnes","24000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2008","2008","tonnes","45000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2009","2009","tonnes","32000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2010","2010","tonnes","50091","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2011","2011","tonnes","86626","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2012","2012","tonnes","32296","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2013","2013","tonnes","30000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","329","Cottonseed","2014","2014","tonnes","46000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1961","1961","tonnes","56300","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1962","1962","tonnes","60500","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1963","1963","tonnes","71000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1964","1964","tonnes","72000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1965","1965","tonnes","68000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1966","1966","tonnes","73500","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1967","1967","tonnes","75500","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1968","1968","tonnes","77000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1969","1969","tonnes","75500","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1970","1970","tonnes","78000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1971","1971","tonnes","75000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1972","1972","tonnes","70000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1973","1973","tonnes","43500","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1974","1974","tonnes","33960","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1975","1975","tonnes","16000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1976","1976","tonnes","12200","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1977","1977","tonnes","14000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1978","1978","tonnes","10000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1979","1979","tonnes","1000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1980","1980","tonnes","2000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1981","1981","tonnes","1000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1982","1982","tonnes","1000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1983","1983","tonnes","1000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1984","1984","tonnes","1000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1985","1985","tonnes","1000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1986","1986","tonnes","1000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1987","1987","tonnes","1000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1988","1988","tonnes","5000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1989","1989","tonnes","7000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1990","1990","tonnes","9000","*","Unofficial figure"
